"Number of Temporary Foreign Worker (TFW) Positions on Positive Labour Market Impact Assessments (LMIA) by Economic Region, National Occupational Classification - 2011 (NOC) Occupational skill Type, and Province/Territory ",,,,,,,,,,
,,,,,,,,,,
Province/Territory,Economic Region ,NOC 2011 Occupational Skill Type,2016,2017,2018,2019,2020,2021,2022,2023
British Columbia         ,5910 - Vancouver Island and Coast,0 - Management occupations ,36,51,44,58,95,67,120,108
British Columbia         ,5910 - Vancouver Island and Coast,"1 - Business, finance and administration occupations ",11,7,2,9,13,16,53,86
British Columbia         ,5910 - Vancouver Island and Coast,2 - Natural and applied sciences and related occupations ,140,76,46,47,29,36,36,32
British Columbia         ,5910 - Vancouver Island and Coast,3 - Health occupations ,5,5,8,19,44,35,83,69
British Columbia         ,5910 - Vancouver Island and Coast,"4 - Occupations in education, law and social, community and government services ",134,145,191,139,111,108,129,152
British Columbia         ,5910 - Vancouver Island and Coast,"5 - Occupations in art, culture, recreation and sport ",38,15,10,11,12,14,19,10
British Columbia         ,5910 - Vancouver Island and Coast,6 - Sales and service occupations ,154,330,330,661,572,844,"1,890","1,733"
British Columbia         ,5910 - Vancouver Island and Coast,"7 - Trades, transport and equipment operators and related occupations ",794,49,18,58,45,87,246,268
British Columbia         ,5910 - Vancouver Island and Coast,"8 - Natural resources, agriculture and related production occupations ",173,198,263,282,294,282,368,487
British Columbia         ,5910 - Vancouver Island and Coast,9 - Occupations in manufacturing and utilities ,6,16,4,18,63,84,337,176
British Columbia         ,5920 - Lower Mainland--Southwest,0 - Management occupations ,391,453,362,698,924,826,"1,136",909
British Columbia         ,5920 - Lower Mainland--Southwest,"1 - Business, finance and administration occupations ",343,412,394,"1,011","1,009",851,"1,847","2,025"
British Columbia         ,5920 - Lower Mainland--Southwest,2 - Natural and applied sciences and related occupations ,620,788,652,868,873,914,"1,517",840
British Columbia         ,5920 - Lower Mainland--Southwest,3 - Health occupations ,40,46,51,69,69,92,144,195
British Columbia         ,5920 - Lower Mainland--Southwest,"4 - Occupations in education, law and social, community and government services ","1,486","1,846","2,425","1,950","1,276","1,523","1,188","1,180"
British Columbia         ,5920 - Lower Mainland--Southwest,"5 - Occupations in art, culture, recreation and sport ","1,996","1,404","1,114",993,483,578,860,684
British Columbia         ,5920 - Lower Mainland--Southwest,6 - Sales and service occupations ,"1,395","2,155","2,397","4,315","3,398","3,117","6,373","6,513"
British Columbia         ,5920 - Lower Mainland--Southwest,"7 - Trades, transport and equipment operators and related occupations ","1,534","2,490","2,368","5,694","4,013","4,639","8,068","7,735"
British Columbia         ,5920 - Lower Mainland--Southwest,"8 - Natural resources, agriculture and related production occupations ","5,473","6,466","9,778","7,012","8,685","7,697","9,309","14,255"
British Columbia         ,5920 - Lower Mainland--Southwest,9 - Occupations in manufacturing and utilities ,32,93,160,275,448,485,"1,218",847
British Columbia         ,5930 - Thompson--Okanagan,0 - Management occupations ,28,32,30,58,120,65,74,81
British Columbia         ,5930 - Thompson--Okanagan,"1 - Business, finance and administration occupations ",9,6,11,12,15,23,57,83
British Columbia         ,5930 - Thompson--Okanagan,2 - Natural and applied sciences and related occupations ,8,14,9,12,13,18,15,13
British Columbia         ,5930 - Thompson--Okanagan,3 - Health occupations ,5,5,0,25,13,27,49,56
British Columbia         ,5930 - Thompson--Okanagan,"4 - Occupations in education, law and social, community and government services ",50,66,97,50,43,45,29,37
British Columbia         ,5930 - Thompson--Okanagan,"5 - Occupations in art, culture, recreation and sport ",50,58,35,32,6,26,22,13
British Columbia         ,5930 - Thompson--Okanagan,6 - Sales and service occupations ,186,329,377,567,521,689,"2,207","1,659"
British Columbia         ,5930 - Thompson--Okanagan,"7 - Trades, transport and equipment operators and related occupations ",14,22,61,68,66,105,496,429
British Columbia         ,5930 - Thompson--Okanagan,"8 - Natural resources, agriculture and related production occupations ","3,888","3,885","6,209","5,457","6,140","5,823","6,456","9,213"
British Columbia         ,5930 - Thompson--Okanagan,9 - Occupations in manufacturing and utilities ,5,3,1,18,12,61,82,110
British Columbia         ,5940 - Kootenay,0 - Management occupations ,3,4,3,11,21,14,15,26
British Columbia         ,5940 - Kootenay,"1 - Business, finance and administration occupations ",0,1,0,2,5,1,7,9
British Columbia         ,5940 - Kootenay,2 - Natural and applied sciences and related occupations ,4,7,5,2,3,3,5,2
British Columbia         ,5940 - Kootenay,3 - Health occupations ,11,14,3,2,8,8,2,1
British Columbia         ,5940 - Kootenay,"4 - Occupations in education, law and social, community and government services ",10,14,12,19,4,6,4,8
British Columbia         ,5940 - Kootenay,"5 - Occupations in art, culture, recreation and sport ",4,1,1,1,0,0,16,6
British Columbia         ,5940 - Kootenay,6 - Sales and service occupations ,43,64,67,156,121,105,409,363
British Columbia         ,5940 - Kootenay,"7 - Trades, transport and equipment operators and related occupations ",18,0,4,19,26,30,55,75
British Columbia         ,5940 - Kootenay,"8 - Natural resources, agriculture and related production occupations ",129,137,364,233,411,312,649,"1,166"
British Columbia         ,5940 - Kootenay,9 - Occupations in manufacturing and utilities ,2,0,0,1,0,0,0,4
British Columbia         ,5950 - Cariboo,0 - Management occupations ,7,8,8,15,21,17,21,18
British Columbia         ,5950 - Cariboo,"1 - Business, finance and administration occupations ",2,1,1,4,10,11,17,18
British Columbia         ,5950 - Cariboo,2 - Natural and applied sciences and related occupations ,8,6,3,4,1,1,6,7
British Columbia         ,5950 - Cariboo,3 - Health occupations ,6,8,1,10,5,7,8,9
British Columbia         ,5950 - Cariboo,"4 - Occupations in education, law and social, community and government services ",16,11,25,12,9,7,4,4
British Columbia         ,5950 - Cariboo,"5 - Occupations in art, culture, recreation and sport ",17,6,0,3,0,1,5,15
British Columbia         ,5950 - Cariboo,6 - Sales and service occupations ,47,39,62,98,78,94,286,329
British Columbia         ,5950 - Cariboo,"7 - Trades, transport and equipment operators and related occupations ",30,4,13,29,15,20,34,42
British Columbia         ,5950 - Cariboo,"8 - Natural resources, agriculture and related production occupations ",13,52,150,267,185,85,136,142
British Columbia         ,5950 - Cariboo,9 - Occupations in manufacturing and utilities ,10,16,2,4,2,2,1,0
British Columbia         ,5960 - North Coast,0 - Management occupations ,4,3,4,6,10,14,20,11
British Columbia         ,5960 - North Coast,"1 - Business, finance and administration occupations ",1,2,2,5,1,1,8,14
British Columbia         ,5960 - North Coast,2 - Natural and applied sciences and related occupations ,5,0,19,18,3,0,2,1
British Columbia         ,5960 - North Coast,3 - Health occupations ,0,3,0,0,3,4,9,5
British Columbia         ,5960 - North Coast,"4 - Occupations in education, law and social, community and government services ",8,3,4,6,1,5,4,2
British Columbia         ,5960 - North Coast,"5 - Occupations in art, culture, recreation and sport ",0,2,0,0,0,2,0,2
British Columbia         ,5960 - North Coast,6 - Sales and service occupations ,32,26,48,85,68,101,193,227
British Columbia         ,5960 - North Coast,"7 - Trades, transport and equipment operators and related occupations ",1,1,7,44,11,13,115,24
British Columbia         ,5960 - North Coast,"8 - Natural resources, agriculture and related production occupations ",0,0,2,0,4,4,2,14
British Columbia         ,5960 - North Coast,9 - Occupations in manufacturing and utilities ,10,0,0,0,18,11,4,9
British Columbia         ,5970 - Nechako,0 - Management occupations ,3,3,0,3,5,5,10,8
British Columbia         ,5970 - Nechako,"1 - Business, finance and administration occupations ",0,1,2,0,5,0,2,4
British Columbia         ,5970 - Nechako,2 - Natural and applied sciences and related occupations ,2,0,0,0,0,0,0,2
British Columbia         ,5970 - Nechako,3 - Health occupations ,0,0,0,0,0,1,0,1
British Columbia         ,5970 - Nechako,"4 - Occupations in education, law and social, community and government services ",3,2,3,0,0,1,0,0
British Columbia         ,5970 - Nechako,"5 - Occupations in art, culture, recreation and sport ",1,0,0,1,0,1,6,0
British Columbia         ,5970 - Nechako,6 - Sales and service occupations ,15,15,30,51,55,74,148,118
British Columbia         ,5970 - Nechako,"7 - Trades, transport and equipment operators and related occupations ",4,1,0,4,4,32,56,30
British Columbia         ,5970 - Nechako,"8 - Natural resources, agriculture and related production occupations ",0,6,1,52,4,13,22,17
British Columbia         ,5970 - Nechako,9 - Occupations in manufacturing and utilities ,0,0,0,0,0,1,0,2
British Columbia         ,5980 - Northeast,0 - Management occupations ,5,7,3,13,10,3,13,11
British Columbia         ,5980 - Northeast,"1 - Business, finance and administration occupations ",1,0,1,4,2,7,5,10
British Columbia         ,5980 - Northeast,2 - Natural and applied sciences and related occupations ,1,16,3,2,5,6,5,7
British Columbia         ,5980 - Northeast,3 - Health occupations ,2,1,2,0,3,2,1,1
British Columbia         ,5980 - Northeast,"4 - Occupations in education, law and social, community and government services ",13,11,25,10,6,8,7,6
British Columbia         ,5980 - Northeast,"5 - Occupations in art, culture, recreation and sport ",1,0,0,2,0,0,0,0
British Columbia         ,5980 - Northeast,6 - Sales and service occupations ,44,66,60,148,75,126,241,254
British Columbia         ,5980 - Northeast,"7 - Trades, transport and equipment operators and related occupations ",11,11,32,75,7,20,161,67
British Columbia         ,5980 - Northeast,"8 - Natural resources, agriculture and related production occupations ",0,1,10,1,1,55,7,77
British Columbia         ,5980 - Northeast,9 - Occupations in manufacturing and utilities ,0,0,0,0,1,0,1,2
British Columbia         ,9-Unspecified,0 - Management occupations ,6,3,6,1,1,2,2,4
British Columbia         ,9-Unspecified,"1 - Business, finance and administration occupations ",3,4,0,1,0,0,1,0
British Columbia         ,9-Unspecified,2 - Natural and applied sciences and related occupations ,17,16,42,86,77,9,7,10
British Columbia         ,9-Unspecified,3 - Health occupations ,0,1,0,0,0,0,0,2
British Columbia         ,9-Unspecified,"4 - Occupations in education, law and social, community and government services ",3,2,3,3,0,1,2,0
British Columbia         ,9-Unspecified,"5 - Occupations in art, culture, recreation and sport ",91,11,9,3,2,6,3,2
British Columbia         ,9-Unspecified,6 - Sales and service occupations ,109,14,45,123,54,14,12,10
British Columbia         ,9-Unspecified,"7 - Trades, transport and equipment operators and related occupations ",158,272,178,149,87,59,128,62
British Columbia         ,9-Unspecified,"8 - Natural resources, agriculture and related production occupations ",22,79,27,5,8,18,99,37
British Columbia         ,9-Unspecified,9 - Occupations in manufacturing and utilities ,1,0,0,0,0,0,0,0
British Columbia         ,Total,,"20,001","22,441","28,739","32,279","30,861","30,520","47,404","53,295"
Yukon                    ,6010 - Yukon,0 - Management occupations ,1,1,1,1,1,3,1,0
Yukon                    ,6010 - Yukon,"1 - Business, finance and administration occupations ",0,0,0,0,0,1,3,1
Yukon                    ,6010 - Yukon,2 - Natural and applied sciences and related occupations ,4,4,2,0,0,3,1,2
Yukon                    ,6010 - Yukon,3 - Health occupations ,0,3,0,0,0,0,0,0
Yukon                    ,6010 - Yukon,"4 - Occupations in education, law and social, community and government services ",5,11,7,7,0,1,0,2
Yukon                    ,6010 - Yukon,"5 - Occupations in art, culture, recreation and sport ",86,72,85,93,31,111,103,104
Yukon                    ,6010 - Yukon,6 - Sales and service occupations ,5,3,3,21,5,5,26,19
Yukon                    ,6010 - Yukon,"7 - Trades, transport and equipment operators and related occupations ",6,25,9,17,3,2,23,8
Yukon,6010 - Yukon,"8 - Natural resources, agriculture and related production occupations ",0,0,0,0,0,0,0,0
Yukon,6010 - Yukon,9 - Occupations in manufacturing and utilities ,0,0,0,0,0,0,0,0
Yukon                    ,Total,,107,119,107,139,40,126,157,136
Northwest Territories    ,6110 - Northwest Territories,0 - Management occupations ,3,2,1,5,0,2,4,2
Northwest Territories    ,6110 - Northwest Territories,"1 - Business, finance and administration occupations ",0,1,1,1,0,0,1,1
Northwest Territories    ,6110 - Northwest Territories,2 - Natural and applied sciences and related occupations ,8,5,0,0,0,0,1,13
Northwest Territories    ,6110 - Northwest Territories,3 - Health occupations ,0,0,0,3,2,0,2,2
Northwest Territories    ,6110 - Northwest Territories,"4 - Occupations in education, law and social, community and government services ",11,13,12,7,5,5,2,1
Northwest Territories    ,6110 - Northwest Territories,"5 - Occupations in art, culture, recreation and sport ",1,0,0,0,0,0,0,0
Northwest Territories    ,6110 - Northwest Territories,6 - Sales and service occupations ,30,10,5,37,18,22,106,85
Northwest Territories    ,6110 - Northwest Territories,"7 - Trades, transport and equipment operators and related occupations ",11,13,2,2,2,0,15,20
Northwest Territories    ,6110 - Northwest Territories,"8 - Natural resources, agriculture and related production occupations ",0,0,0,1,1,1,1,0
Northwest Territories    ,6110 - Northwest Territories,9 - Occupations in manufacturing and utilities ,0,2,0,0,1,0,0,0
Northwest Territories    ,Total,,64,46,21,56,29,30,132,124
Nunavut                  ,6210 - Nunavut,0 - Management occupations ,2,1,4,0,1,0,2,0
Nunavut                  ,6210 - Nunavut,"1 - Business, finance and administration occupations ",3,0,1,1,3,3,1,3
Nunavut                  ,6210 - Nunavut,2 - Natural and applied sciences and related occupations ,12,13,27,16,18,17,16,40
Nunavut                  ,6210 - Nunavut,3 - Health occupations ,2,1,1,0,0,1,3,0
Nunavut                  ,6210 - Nunavut,"4 - Occupations in education, law and social, community and government services ",6,6,10,2,2,2,1,1
Nunavut                  ,6210 - Nunavut,"5 - Occupations in art, culture, recreation and sport ",7,1,8,1,0,2,0,0
Nunavut                  ,6210 - Nunavut,6 - Sales and service occupations ,98,15,49,71,7,9,46,39
Nunavut                  ,6210 - Nunavut,"7 - Trades, transport and equipment operators and related occupations ",15,4,32,42,15,29,19,39
Nunavut,6210 - Nunavut,"8 - Natural resources, agriculture and related production occupations ",0,0,0,0,0,0,0,0
Nunavut,6210 - Nunavut,9 - Occupations in manufacturing and utilities ,0,0,0,0,0,0,0,0
Nunavut                  ,Total,,145,41,132,133,46,63,88,122
Notes:,,,,,,,,,,
1. The source for all information in this report is Employment and Social Development Canada's (ESDC) LMIA System.,,,,,,,,,,
" 2. As of the publication of 2023 annual data (published in April 2024), all LMIAs in support of 'Permanent Residence (PR) Only' are included in TFWP statistics, unless indicated otherwise. All annual data in this report includes PR Only LMIAs. Dual-intent LMIAs and corresponding positions are included under their respective TFWP stream (e.g., low-wage, high-wage, etc.) This may impact program reporting over time.
",,,,,,,,,,
"3. Effective November 2016, NOC 2011 is being used. Prior to November 2016, all occupations under NOC 2006 had been converted to the respective NOC 2011 occupation. Empirical concordance released by Statistics Canada was used to determine appropriate linkages.
",,,,,,,,,,
"4. An economic region is defined by Statistics Canada as a grouping of complete Census Divisions (with one exception in Ontario) created as a standard geographic unit for analysis of regional economic activity. There are 76 economic regions across Canada. In Ontario, there is one exception where the employers’ boundary does not respect census division boundaries: The census division of Halton is split between the employers of Hamilton–Niagara Peninsula and the employers of Toronto.",,,,,,,,,,
"5. ""Other"" indicates that the location of employment includes more than one distinct economic region within the same province.",,,,,,,,,,
"6. Each LMIA application submitted is restricted to a single occupation, as defined by the NOC; however, it may be for any number of positions (for example, five welders).
",,,,,,,,,,
"7. The LMIA System tracks TFW positions only, not TFWs who are issued a work permit or who enter Canada. Not all positions approved result in a work permit or a TFW entering Canada. For information on the number of work permits issued, please consult Immigration Refugees and Citizenship Canada's (IRCC) Facts and Figures: http://www.cic.gc.ca/english/resources/statistics/menu-fact.asp ",,,,,,,,,,
8. The numbers appearing in this release may differ slightly from those reported in previous releases of LMIA statistics due to data updates that occur over time.,,,,,,,,,,
